JulianDay, ClimateParameter, InputTemperature,InputPrecipitation,InputEvapotranspiration,GreenAreaIndex, SurfaceTemperature, SoilTemperature, CropCoefficient, CropInterception, VolumetricSoilWaterContent, ActualEvapotranspiration, DeepPercolation, ReferenceEvapotranspiration, SoilAvailableWater, WaterStorage, ClimateParamterTemperature, ClimateParameterWater, FieldCapacity, WiltingPoint
16,0.0322245599027474,-12.65,0.07,0, 1.40814447715633E-17,-2.53,-1.77126570708401, 0.8, 0, 0.369994619555102, 0, 0.0699999999999932, 0, 0.07, 92.4986548887755, 0.00420854980907436, 0.805202474274208, 0.369714619555102, 0.227997481880444
17,0.0270757328629491,-12.53,0.16,0, 2.34106556978338E-17,-2.506,-1.91384418523418, 0.8, 0, 0.369994619555102, 0, 0.0699999999999932, 0, 0.16, 92.5886548887755, 0.00353610943686457, 0.805202474274208, 0.369714619555102, 0.227997481880444
18,0.0233138761271684,-8.3,0.02,0, 3.8791117515805E-17,-1.66,-1.86458458490395, 0.8, 0, 0.370354619555102, 0, 0.159999999999997, 0, 0.02, 92.4486548887755, 0.00305194367498984, 0.80331994119819, 0.369714619555102, 0.227997481880444
19,0.0246504535587791,-10.67,0.01,0, 6.40624223402601E-17,-2.134,-1.91686585208441, 0.8, 0, 0.369794619555102, 0, 0.019999999999996, 0, 0.01, 92.4386548887755, 0.00321519017491334, 0.806248325983107, 0.369714619555102, 0.227997481880444
20,0.0233292011001162,-12.19,0.2,0, 1.05445189848832E-16,-2.438,-2.0179942660407, 0.8, 0, 0.369754619555102, 0, 0.0100000000000051, 0, 0.2, 92.6286548887755, 0.00304206830349791, 0.806457496324887, 0.369714619555102, 0.227997481880444
21,0.0207625527299442,-9.57,0.92,0, 1.72982648264045E-16,-1.914,-1.99781371324578, 0.8, 0, 0.370514619555102, 0, 0.200000000000003, 0, 0.92, 93.3486548887755, 0.00272079201445343, 0.80248325983107, 0.369714619555102, 0.227997481880444
22,0.02084224135339,-15.35,1.83,0, 2.82833378891062E-16,-3.07,-2.20587626120743, 0.8, 0, 0.373394619555102, 0, 0.920000000000002, 0, 1.83, 94.2586548887755, 0.00278347230652312, 0.787422995222924, 0.369714619555102, 0.227997481880444
23,0.0158667771470216,-22.03,1.38,0, 4.60904696912616E-16,-4.406,-2.6328201202917, 0.8, 0, 0.377034619555102, 0, 1.83, 0, 1.38, 93.8086548887755, 0.00217149306314069, 0.768388494120961, 0.369714619555102, 0.227997481880444
24,0.00853025003096713,-27.55,0.37,0, 7.48589890184395E-16,-5.51,-3.19114975396786, 0.8, 0, 0.375234619555102, 0, 1.38, 0, 0.37, 92.7986548887755, 0.00115330387760278, 0.777801159501053, 0.369714619555102, 0.227997481880444
25,0.0023085918077934,-22.45,0.48,0, 1.21179493537913E-15,-4.49,-3.44319745775648, 0.8, 0, 0.371194619555102, 0, 0.370000000000005, 0, 0.48, 92.9086548887755, 0.000303871822947385, 0.798927364020813, 0.369714619555102, 0.227997481880444
26,0.000753070435200055,-15.74,0.09,0, 1.95508957623478E-15,-3.148,-3.38591306979948, 0.8, 0, 0.371634619555102, 0, 0.480000000000004, 0, 0.09, 92.5186548887755, 9.94103107714486E-05, 0.796626490261236, 0.369714619555102, 0.227997481880444
27,0.0010415823245408,-13.62,2.75,0, 3.14381179594198E-15,-2.724,-3.25746587593683, 0.8, 0, 0.370074619555102, 0, 0.0900000000000034, 0, 2.75, 95.1786548887755, 0.000136102083374849, 0.804784133590648, 0.369714619555102, 0.227997481880444
28,0.00170461077423639,-9.65,0.1,0, 5.03847107587815E-15,-1.93,-2.99986518108401, 0.8, 0, 0.380714619555102, 0, 2.75, 0, 0.1, 92.5286548887755, 0.000239281996741416, 0.749144822677219, 0.369714619555102, 0.227997481880444
29,0.00408071223031951,-8.2,0.01,0, 8.04809978033588E-15,-1.64,-2.73597725605077, 0.800000000000001, 0, 0.370114619555102, 0, 0.0999999999999943, 0, 0.01, 92.4386548887755, 0.000533359497550837, 0.804574963248869, 0.369714619555102, 0.227997481880444
30,0.00732540321916325,-11.14,0.03,0, 1.28126890438738E-14,-2.228,-2.63740199585001, 0.800000000000001, 0, 0.369754619555102, 0, 0.0100000000000051, 0, 0.03, 92.4586548887755, 0.000955213890425381, 0.806457496324887, 0.369714619555102, 0.227997481880444
31,0.0087694669106495,-10.79,0.06,0, 2.03301026761112E-14,-2.158,-2.5443718927917, 0.800000000000002, 0, 0.369834619555102, 0, 0.0300000000000011, 0, 0.06, 92.4886548887755, 0.00114410960543245, 0.806039155641327, 0.369714619555102, 0.227997481880444
32,0.0102476337174782,-13.02,0.16,0, 3.21507574870348E-14,-2.604,-2.55594299388594, 0.800000000000003, 0, 0.369954619555102, 0, 0.0600000000000023, 0, 0.16, 92.5886548887755, 0.00133800047334033, 0.805411644615988, 0.369714619555102, 0.227997481880444
33,0.0100304858109406,-14.51,0.34,0, 5.06751681954449E-14,-2.902,-2.62309690484486, 0.800000000000004, 0, 0.370354619555102, 0, 0.159999999999997, 0, 0.34, 92.7686548887755, 0.00131305826456295, 0.80331994119819, 0.369714619555102, 0.227997481880444
34,0.00891810073519552,-14.63,0.33,0, 7.96070516982273E-14,-2.926,-2.68187660622887, 0.800000000000007, 0, 0.371074619555102, 0, 0.340000000000003, 0, 0.33, 92.7586548887755, 0.00117293697103532, 0.799554875046153, 0.369714619555102, 0.227997481880444
35,0.00803700604818866,-17.22,0.61,0, 1.24640801351918E-13,-3.444,-2.82977006199132, 0.800000000000011, 0, 0.371034619555102, 0, 0.329999999999998, 0, 0.61, 93.0386548887755, 0.00105677613403784, 0.799764045387933, 0.369714619555102, 0.227997481880444
36,0.00597389152854967,-17.96,0.05,0, 1.94500748510396E-13,-3.592,-2.97768419313995, 0.800000000000017, 0, 0.372154619555102, 0, 0.609999999999999, 0, 0.05, 92.4786548887755, 0.000791294465080858, 0.793907275818098, 0.369714619555102, 0.227997481880444
37,0.00432166906939458,-15.1,0.09,0, 3.02506473759653E-13,-3.02,-2.98589576486319, 0.800000000000026, 0, 0.369914619555102, 0, 0.0499999999999972, 0, 0.09, 92.5186548887755, 0.000564119882331191, 0.805620814957768, 0.369714619555102, 0.227997481880444
38,0.00422926172659645,-16.54,0.22,0, 4.6892179748164E-13,-3.308,-3.04840153340335, 0.80000000000004, 0, 0.370074619555102, 0, 0.0900000000000034, 0, 0.22, 92.6486548887755, 0.000552631624563194, 0.804784133590648, 0.369714619555102, 0.227997481880444
39,0.0035775460005728,-12.82,0.48,0, 7.24466854646193E-13,-2.564,-2.95440124770531, 0.800000000000062, 0, 0.370594619555102, 0, 0.219999999999999, 0, 0.48, 92.9086548887755, 0.000469057713956748, 0.802064919147511, 0.369714619555102, 0.227997481880444
40,0.00452504530681965,-13.8,0.3,0, 1.11554982405864E-12,-2.76,-2.91667681546423, 0.800000000000095, 0, 0.371634619555102, 0, 0.480000000000004, 0, 0.3, 92.7286548887755, 0.000597336104538915, 0.796626490261236, 0.369714619555102, 0.227997481880444
41,0.00497140836411243,-13.63,0.22,0, 1.71203159479255E-12,-2.726,-2.87967512596977, 0.800000000000146, 0, 0.370914619555102, 0, 0.299999999999997, 0, 0.22, 92.6486548887755, 0.000653171937386263, 0.800391556413272, 0.369714619555102, 0.227997481880444
42,0.00541798940544538,-4.95,0.2,0, 2.6187071255557E-12,-0.99,-2.51297520974618, 0.800000000000223, 0, 0.370594619555102, 0, 0.219999999999999, 0, 0.2, 92.6286548887755, 0.000710361159396189, 0.802064919147511, 0.369714619555102, 0.227997481880444
43,0.0107358476078354,1.08,0.09,0, 3.9922197283972E-12,1.20528631382754,-1.79142991846662, 0.800000000000339, 0, 0.370514619555102, 0, 0.200000000000003, 0, 0.09, 92.5186548887755, 0.00140686016886836, 0.80248325983107, 0.369714619555102, 0.227997481880444
44,0.0265210882013904,-0.83,0.11,0, 6.06588670749857E-12,-0.166,-1.47600796749881, 0.800000000000516, 0, 0.370074619555102, 0, 0.0900000000000034, 0, 0.11, 92.5386548887755, 0.00346547293721476, 0.804784133590648, 0.369714619555102, 0.227997481880444
45,0.0355832548493886,-1.49,0.28,0, 9.18600134618868E-12,-0.298,-1.24741024873992, 0.800000000000781, 0, 0.370154619555102, 0, 0.109999999999999, 0, 0.28, 92.7086548887755, 0.00465203159179338, 0.804365792907089, 0.369714619555102, 0.227997481880444
